-0.163,-0.498,0.687,255,0,255,0.628876,-0.004128,0.777495
-0.722,-0.466,0.700,255,255,0,-0.628876,-0.004128,0.777495
-0.800,0.311,0.632,255,255,0,-0.599775,-0.004117,0.800158
-0.754,-0.038,0.671,255,255,0,-0.600616,0.012427,0.799441
-0.797,-0.661,0.644,255,255,0,-0.615595,-0.070313,0.784920
-0.513,-0.498,0.871,255,255,0,-0.642253,-0.029513,0.765925
-0.821,0.241,0.616,255,255,0,-0.600218,-0.001367,0.799835
-0.897,0.765,0.562,255,255,0,-0.583790,-0.012363,0.811811
-0.745,-0.067,0.678,255,255,0,-0.602377,0.012406,0.798115
-0.908,0.053,0.554,255,255,0,-0.610700,0.004117,0.791851
-0.221,-0.691,0.738,255,0,255,0.602080,-0.125741,0.788473
-0.702,-0.889,0.725,255,255,0,-0.631314,0.035151,0.774730
-0.682,-0.280,0.731,255,255,0,-0.618111,-0.006883,0.786061
-0.971,0.352,0.514,255,255,0,-0.454065,0.009267,0.890920
-0.080,-0.483,0.625,255,0,255,0.610238,0.026532,0.791774
-0.599,-0.650,0.802,255,255,0,-0.625863,0.004127,0.779922
-0.777,0.155,0.650,255,255,0,-0.595391,-0.001369,0.803435
-0.943,0.820,0.528,255,255,0,-0.566934,-0.020691,0.823503
-0.666,-0.093,0.741,255,255,0,-0.615076,0.026500,0.788022
-0.031,-0.270,0.583,255,0,255,0.634881,-0.004132,0.772599
-0.883,0.479,0.571,255,255,0,-0.584538,-0.017965,0.811167
-0.842,-0.892,0.611,255,255,0,-0.644907,0.035279,0.763446
-0.904,0.972,0.567,255,255,0,-0.678860,-0.044119,0.732941
-0.703,-0.618,0.717,255,255,0,-0.634275,0.055588,0.771107
-0.780,0.836,0.659,255,255,0,-0.619511,-0.076536,0.781248
-0.842,-0.838,0.609,255,255,0,-0.622140,0.032301,0.782239
-0.492,-0.845,0.892,255,255,0,-0.500708,0.062763,0.863338
-0.891,-0.475,0.565,255,255,0,-0.586134,-0.004099,0.810204
-0.820,-0.577,0.625,255,255,0,-0.623822,0.009682,0.781506
-0.068,-0.570,0.617,255,0,255,0.571302,-0.012330,0.820647
-0.347,0.355,0.866,255,0,255,0.414377,-0.858021,0.303465
-0.840,0.241,0.603,255,255,0,-0.580674,0.012355,0.814042
